,season,team,player
0,2018,Kings XI Punjab,KL Rahul
1,2008,Rajasthan Royals,D Salunkhe
2,2019,Kolkata Knight Riders,S Gill
3,2008,Chennai Super Kings,CK Kapugedera
4,2009,Delhi Daredevils,KD Karthik
5,2012,Deccan Chargers,JP Duminy
6,2015,Chennai Super Kings,RA Jadeja
7,2012,Deccan Chargers,PA Reddy
8,2008,Kolkata Knight Riders,BAW Mendis
9,2013,Rajasthan Royals,S Badree
10,2019,Chennai Super Kings,F du Plessis
11,2013,Rajasthan Royals,Harmeet Singh (2)
12,2018,Royal Challengers Bangalore,V Kohli
13,2019,Royal Challengers Bangalore,C de Grandhomme
14,2013,Pune Warriors,AG Murtaza
15,2015,Delhi Daredevils,CM Gautam
16,2015,Royal Challengers Bangalore,VR Aaron
17,2008,Deccan Chargers,AS Yadav
18,2008,Kolkata Knight Riders,BJ Hodge
19,2015,Royal Challengers Bangalore,SN Khan
20,2017,Gujarat Lions,DR Smith
21,2015,Royal Challengers Bangalore,Mandeep Singh
22,2009,Chennai Super Kings,ML Hayden
23,2009,Rajasthan Royals,M Rawat
24,2016,Rising Pune Supergiants,AB Dinda
25,2014,Rajasthan Royals,JP Faulkner
26,2010,Deccan Chargers,KAJ Roach
27,2011,Kochi Tuskers Kerala,M Muralitharan
28,2013,Rajasthan Royals,Sachin Baby
29,2011,Kochi Tuskers Kerala,OA Shah
30,2010,Chennai Super Kings,S Badrinath
31,2011,Chennai Super Kings,SK Raina
32,2011,Royal Challengers Bangalore,R Ninan
33,2019,Rajasthan Royals,SPD Smith
34,2011,Kochi Tuskers Kerala,BB McCullum
35,2014,Chennai Super Kings,R Ashwin
36,2015,Rajasthan Royals,CH Morris
37,2011,Pune Warriors,M Kartik
38,2018,Delhi Daredevils,L Plunkett
39,2010,Kolkata Knight Riders,LR Shukla
40,2015,Mumbai Indians,P Suyal
41,2013,Kolkata Knight Riders,DB Das
42,2016,Mumbai Indians,R Vinay Kumar
43,2008,Royal Challengers Bangalore,A Kumble
44,2012,Kings XI Punjab,BA Bhatt
45,2016,Kings XI Punjab,NS Naik
46,2016,Delhi Daredevils,SV Samson
47,2016,Sunrisers Hyderabad,KV Sharma
48,2017,Kings XI Punjab,GJ Maxwell
49,2009,Kings XI Punjab,S Sreesanth
50,2008,Rajasthan Royals,RA Jadeja
51,2011,Mumbai Indians,SR Tendulkar
52,2012,Chennai Super Kings,M Vijay
53,2014,Rajasthan Royals,BCJ Cutting
54,2012,Chennai Super Kings,WP Saha
55,2012,Royal Challengers Bangalore,CH Gayle
56,2019,Sunrisers Hyderabad,YK Pathan
57,2017,Sunrisers Hyderabad,Yuvraj Singh
58,2013,Royal Challengers Bangalore,R Vinay Kumar
59,2016,Delhi Daredevils,SS Iyer
60,2009,Deccan Chargers,TL Suman
61,2013,Rajasthan Royals,SR Watson
62,2013,Mumbai Indians,AP Tare
63,2018,Kolkata Knight Riders,Kuldeep Yadav
64,2016,Sunrisers Hyderabad,MC Henriques
65,2019,Mumbai Indians,RD Chahar
66,2016,Mumbai Indians,TG Southee
67,2010,Kolkata Knight Riders,I Sharma
68,2017,Rising Pune Supergiant,SN Thakur
69,2016,Royal Challengers Bangalore,KL Rahul
70,2011,Delhi Daredevils,AJ Finch
71,2012,Mumbai Indians,DR Smith
72,2009,Royal Challengers Bangalore,KP Appanna
73,2014,Royal Challengers Bangalore,AB de Villiers
74,2009,Deccan Chargers,DR Smith
75,2011,Kochi Tuskers Kerala,Y Gnaneswara Rao
76,2018,Royal Challengers Bangalore,BB McCullum
77,2017,Mumbai Indians,TG Southee
78,2014,Kings XI Punjab,DA Miller
79,2015,Kings XI Punjab,Shivam Sharma
80,2015,Sunrisers Hyderabad,S Dhawan
81,2017,Mumbai Indians,N Rana
82,2013,Chennai Super Kings,JO Holder
