,Team,Season,Total_Batting_Weight,Total_Bowling_Weight,Team_Weight
0,Chennai Super Kings,2008,42.07189,18.717010000000002,60.7889
1,Delhi Daredevils,2008,42.70313,28.94229,71.64542
2,Kings XI Punjab,2008,41.61356,22.948169999999998,64.56173
3,Deccan Chargers,2008,34.21982,29.40219,63.622009999999996
4,Rajasthan Royals,2008,29.6823,34.32318,64.00548
5,Mumbai Indians,2008,42.19584,30.464669999999998,72.66050999999999
6,Kolkata Knight Riders,2008,35.896899999999995,33.470600000000005,69.3675
7,Royal Challengers Bangalore,2008,41.54585,32.39867,73.94452
8,Mumbai Indians,2009,40.70315,36.22411,76.92726
9,Kolkata Knight Riders,2009,42.119820000000004,38.64986,80.76968
10,Chennai Super Kings,2009,42.941689999999994,23.5649,66.50659
11,Rajasthan Royals,2009,40.751059999999995,43.68522,84.43628
12,Deccan Chargers,2009,39.96669,42.20882,82.17550999999999
13,Royal Challengers Bangalore,2009,54.18023,45.31495999999999,99.49519000000001
14,Kings XI Punjab,2009,36.26355999999999,24.72057,60.98413000000001
15,Delhi Daredevils,2009,51.131249999999994,34.142759999999996,85.27400999999999
16,Kings XI Punjab,2010,40.18336,28.231189999999998,68.41455
17,Mumbai Indians,2010,57.15524,48.11095,105.26619
18,Delhi Daredevils,2010,58.988550000000004,41.66283,100.65138000000002
19,Deccan Chargers,2010,41.390640000000005,49.04493000000001,90.43557000000001
20,Kolkata Knight Riders,2010,56.260450000000006,44.05906999999999,100.31952
21,Chennai Super Kings,2010,51.78334000000001,24.21703,76.00037
22,Royal Challengers Bangalore,2010,54.31564,37.23947,91.55511
23,Rajasthan Royals,2010,47.39584,36.83615999999999,84.232
24,Kochi Tuskers Kerala,2011,44.23856000000001,30.20877,74.44733000000001
25,Chennai Super Kings,2011,46.505219999999994,23.746520000000004,70.25174
26,Rajasthan Royals,2011,40.16149,27.71942,67.88091
27,Mumbai Indians,2011,39.63749000000001,43.300779999999996,82.93827
28,Deccan Chargers,2011,43.51355000000001,29.75714,73.27068999999999
29,Delhi Daredevils,2011,48.428140000000006,39.65697,88.08510999999999
30,Pune Warriors,2011,40.66356,41.859730000000006,82.52329
31,Kings XI Punjab,2011,41.73025,29.640409999999996,71.37066
32,Kolkata Knight Riders,2011,50.88441,41.17937,92.06378
33,Royal Challengers Bangalore,2011,37.38646,22.303130000000003,59.68959
34,Rajasthan Royals,2012,40.400029999999994,30.78547,71.1855
35,Pune Warriors,2012,38.44169,41.518930000000005,79.96062
36,Kings XI Punjab,2012,57.75421000000001,45.81023999999999,103.56445000000001
37,Mumbai Indians,2012,54.23124000000001,54.72768000000001,108.95892
38,Deccan Chargers,2012,54.71042,32.1982,86.90862
39,Kolkata Knight Riders,2012,55.58856000000001,50.325599999999994,105.91416000000001
40,Chennai Super Kings,2012,47.24689000000001,21.975270000000002,69.22216
41,Delhi Daredevils,2012,68.51772,48.791419999999995,117.30914
42,Royal Challengers Bangalore,2012,42.55208,30.587350000000004,73.13942999999999
43,Mumbai Indians,2013,58.41251,67.45412,125.86662999999997
44,Delhi Daredevils,2013,58.73648,45.29963,104.03611000000002
45,Kings XI Punjab,2013,64.19900000000001,46.01780000000001,110.2168
46,Kolkata Knight Riders,2013,58.36458999999999,46.54495,104.90954
47,Sunrisers Hyderabad,2013,52.10209999999999,34.50359999999999,86.60570000000001
48,Pune Warriors,2013,47.32399000000001,43.450559999999996,90.77454999999999
49,Royal Challengers Bangalore,2013,53.788560000000004,37.14043,90.92898999999998
50,Rajasthan Royals,2013,51.12814999999999,35.02248,86.15062999999999
51,Chennai Super Kings,2013,52.59166999999999,31.56256,84.15423000000001
52,Chennai Super Kings,2014,52.09897,39.879799999999996,91.97877000000001
53,Kolkata Knight Riders,2014,61.758350000000014,43.116839999999996,104.87519
54,Mumbai Indians,2014,46.76667,45.254819999999995,92.02149
55,Kings XI Punjab,2014,52.387530000000005,31.97646,84.36399
56,Sunrisers Hyderabad,2014,49.097939999999994,37.69463,86.79257
57,Royal Challengers Bangalore,2014,40.89585,37.2088,78.10464999999999
58,Delhi Daredevils,2014,47.95729,37.827940000000005,85.78523
