,Player,Total_Batting_Weight,Total_Bowling_Weight,Total_Weight
0,Rashid Khan,4.76355,5.26887,10.03242
1,CH Morris,5.27708,4.75473,10.03181
2,MF Maharoof,4.58124,5.44812,10.02936
3,SP Narine,4.14583,5.58963,9.73546
4,KK Cooper,4.48751,5.08964,9.57715
5,Mohammad Nabi,4.68021,4.88679,9.567
6,AJ Tye,4.23021,5.18868,9.41889
7,M Morkel,4.65416,4.56368,9.217839999999999
8,Washington Sundar,5.02187,4.07547,9.097339999999999
9,J Archer,4.4875,4.57547,9.06297
10,A Ashish Reddy,4.68959,4.35378,9.04337
11,M Ali,4.72709,4.17218,8.89927
12,KH Pandya,4.64897,4.17926,8.828230000000001
13,JA Morkel,4.59688,4.19104,8.78792
14,Harbhajan Singh,3.96979,4.81369,8.78348
15,BJ Hodge,3.23333,5.52124,8.75457
16,HV Patel,4.88541,3.81133,8.69674
17,R Tewatia,4.14688,4.5236,8.670480000000001
18,Bipul Sharma,5.21459,3.34198,8.55657
19,N Rana,3.24479,5.15567,8.400459999999999
20,Ankit Sharma,4.80625,3.5684,8.37465
21,AD Russell,4.39687,3.96698,8.36385
22,JP Faulkner,4.14584,4.12735,8.27319
23,S Gopal,2.74063,5.52831,8.26894
24,HH Pandya,5.00208,3.24057,8.242650000000001
25,DJ Bravo,3.61874,4.5684,8.18714
26,MJ McClenaghan,3.57292,4.47878,8.0517
27,YK Pathan,4.33958,3.68633,8.02591
28,AD Mascarenhas,1.84583,6.06368,7.90951
29,KA Pollard,4.28334,3.60142,7.88476
30,WPUJC Vaas,2.65833,5.20047,7.8588000000000005
31,RN ten Doeschate,4.40833,3.42453,7.83286
32,KP Pietersen,3.80834,3.9835,7.79184
33,RJ Harris,2.59479,5.19576,7.79055
34,P Negi,3.28646,4.42453,7.71099
35,MR Marsh,2.11354,5.53774,7.65128
36,SR Watson,3.60208,4.00709,7.60917
37,Azhar Mahmood,2.775,4.82548,7.600479999999999
38,K Gowtham,5.03438,2.53774,7.57212
39,Shakib Al Hasan,3.18334,4.3868,7.57014
40,RG Sharma,3.28437,4.24764,7.53201
41,NM Coulter-Nile,1.92604,5.57783,7.503869999999999
42,RA Jadeja,3.15312,4.32782,7.48094
43,SL Malinga,1.52188,5.93632,7.4582
44,AR Patel,3.36978,4.03066,7.40044
45,B Akhil,4.28958,3.10849,7.398070000000001
46,CR Brathwaite,3.75625,3.62973,7.38598
47,R Bhatia,3.0375,4.29718,7.3346800000000005
48,KV Sharma,2.62812,4.62736,7.25548
49,STR Binny,3.65521,3.58728,7.24249
50,B Kumar,1.91146,5.30897,7.22043
51,Yuvraj Singh,2.90626,4.29953,7.20579
52,MA Starc,1.49583,5.70991,7.20574
53,BCJ Cutting,4.82396,2.375,7.19896
54,A Mishra,1.84168,5.28303,7.12471
55,RE van der Merwe,2.08854,5.01886,7.1074
56,SK Raina,3.79272,3.25001,7.042730000000001
